tag,target,H,model,fold,nRMSE
power_H1,power,1,ridge,0,0.2885603507495369
power_H1,power,1,ridge,1,0.2936977481555056
power_H1,power,1,ridge,2,0.2486763602239581
power_H1,power,1,ridge,3,0.2657611815007672
power_H1,power,1,lightgbm,0,0.2880471726764846
power_H1,power,1,lightgbm,1,0.2879260987291685
power_H1,power,1,lightgbm,2,0.2381383048873578
power_H1,power,1,lightgbm,3,0.2500325494015094
power_H3,power,3,ridge,0,0.434126248370959
power_H3,power,3,ridge,1,0.4422740639995047
power_H3,power,3,ridge,2,0.3697956814483293
power_H3,power,3,ridge,3,0.3919937761949156
power_H3,power,3,lightgbm,0,0.4287315870304586
power_H3,power,3,lightgbm,1,0.4226757915370838
power_H3,power,3,lightgbm,2,0.3581567653937812
power_H3,power,3,lightgbm,3,0.3649574941361233
power_H6,power,6,ridge,0,0.5428998379904204
power_H6,power,6,ridge,1,0.5479322220899232
power_H6,power,6,ridge,2,0.4583281580288387
power_H6,power,6,ridge,3,0.4734138270022137
power_H6,power,6,lightgbm,0,0.5422920397372275
power_H6,power,6,lightgbm,1,0.5269276850783061
power_H6,power,6,lightgbm,2,0.4488047424530695
power_H6,power,6,lightgbm,3,0.4472012398220514
ws100_H1,ws100,1,ridge,0,0.15848511
ws100_H1,ws100,1,ridge,1,0.15482385
ws100_H1,ws100,1,ridge,2,0.14546627
ws100_H1,ws100,1,ridge,3,0.14241055
ws100_H1,ws100,1,lightgbm,0,0.16121484
ws100_H1,ws100,1,lightgbm,1,0.15389825
ws100_H1,ws100,1,lightgbm,2,0.14109945
ws100_H1,ws100,1,lightgbm,3,0.13906997
ws100_H3,ws100,3,ridge,0,0.259122
ws100_H3,ws100,3,ridge,1,0.25279918
ws100_H3,ws100,3,ridge,2,0.23085606
ws100_H3,ws100,3,ridge,3,0.23460357
ws100_H3,ws100,3,lightgbm,0,0.26037264
ws100_H3,ws100,3,lightgbm,1,0.24327214
ws100_H3,ws100,3,lightgbm,2,0.22408195
ws100_H3,ws100,3,lightgbm,3,0.22464663
ws100_H6,ws100,6,ridge,0,0.34865108
ws100_H6,ws100,6,ridge,1,0.3410228
ws100_H6,ws100,6,ridge,2,0.3042671
ws100_H6,ws100,6,ridge,3,0.31214064
ws100_H6,ws100,6,lightgbm,0,0.35314506
ws100_H6,ws100,6,lightgbm,1,0.33085966
ws100_H6,ws100,6,lightgbm,2,0.30077234
ws100_H6,ws100,6,lightgbm,3,0.2961035
