tag,target,H,model,fold,nRMSE
ws100_interval_H1,ws100,1,ridge,0,0.10210509217362317
ws100_interval_H1,ws100,1,ridge,1,0.1000401188709763
ws100_interval_H1,ws100,1,ridge,2,0.09446536436052182
ws100_interval_H1,ws100,1,ridge,3,0.09190150573867144
ws100_interval_H1,ws100,1,lightgbm,0,0.10474956883207591
ws100_interval_H1,ws100,1,lightgbm,1,0.0993476633048732
ws100_interval_H1,ws100,1,lightgbm,2,0.09062941521649422
ws100_interval_H1,ws100,1,lightgbm,3,0.08985490554110259
ws100_interval_H3,ws100,3,ridge,0,0.15595240527530543
ws100_interval_H3,ws100,3,ridge,1,0.15197920148776403
ws100_interval_H3,ws100,3,ridge,2,0.14072611506454702
ws100_interval_H3,ws100,3,ridge,3,0.14101616245191467
ws100_interval_H3,ws100,3,lightgbm,0,0.15753434237000966
ws100_interval_H3,ws100,3,lightgbm,1,0.14835322513653504
ws100_interval_H3,ws100,3,lightgbm,2,0.13478631469709376
ws100_interval_H3,ws100,3,lightgbm,3,0.1345650752649594
ws100_interval_H6,ws100,6,ridge,0,0.20629262754398825
ws100_interval_H6,ws100,6,ridge,1,0.200356906934709
ws100_interval_H6,ws100,6,ridge,2,0.18207734462112213
ws100_interval_H6,ws100,6,ridge,3,0.18591052367794525
ws100_interval_H6,ws100,6,lightgbm,0,0.2070811885987804
ws100_interval_H6,ws100,6,lightgbm,1,0.19174973126891318
ws100_interval_H6,ws100,6,lightgbm,2,0.17612077498502338
ws100_interval_H6,ws100,6,lightgbm,3,0.17508222106947544
power_interval_H1,power,1,ridge,0,0.19046181590299213
power_interval_H1,power,1,ridge,1,0.19462830957959854
power_interval_H1,power,1,ridge,2,0.16408863211566793
power_interval_H1,power,1,ridge,3,0.17682926756090514
power_interval_H1,power,1,lightgbm,0,0.18697481652410694
power_interval_H1,power,1,lightgbm,1,0.18442192946723712
power_interval_H1,power,1,lightgbm,2,0.15391710875801184
power_interval_H1,power,1,lightgbm,3,0.15965210851519296
power_interval_H3,power,3,ridge,0,0.2679924143938787
power_interval_H3,power,3,ridge,1,0.2732680399700283
power_interval_H3,power,3,ridge,2,0.2291055357059205
power_interval_H3,power,3,ridge,3,0.24302633745057453
power_interval_H3,power,3,lightgbm,0,0.26520131176069184
power_interval_H3,power,3,lightgbm,1,0.2583454684256727
power_interval_H3,power,3,lightgbm,2,0.21691566898258466
power_interval_H3,power,3,lightgbm,3,0.2219501964430011
power_interval_H6,power,6,ridge,0,0.3314537071627426
power_interval_H6,power,6,ridge,1,0.3339318904282067
power_interval_H6,power,6,ridge,2,0.27994643490380006
power_interval_H6,power,6,ridge,3,0.29231471918400015
power_interval_H6,power,6,lightgbm,0,0.33010628561192074
power_interval_H6,power,6,lightgbm,1,0.3123280809075661
power_interval_H6,power,6,lightgbm,2,0.2683127879678283
power_interval_H6,power,6,lightgbm,3,0.26666958116575384
