feature,gain
P_now,85311.68017452955
WS_100W_mean,27450.665735185146
WS_38W_mean,9619.525158584118
hour_sin,5579.602679312229
WS_100_mean,4724.472404897213
hour_cos,2719.466228365898
ws_rmax_60,2280.659340798855
WD_97_sin,2237.234195649624
WS_100E_mean,2176.4928739070892
doy_cos,1702.5239016413689
doy_sin,1493.5763291716576
RH_95_mean,1156.9506713151932
AT_95_mean,1042.5975903272629
WD_97_cos,1005.7716198563576
ws_rmax_360,956.650788128376
BP_93_mean,945.3288046717644
ws_rmin_360,896.1319054365158
air_density,886.8550077080727
ws_rmax_180,869.8255498409271
WS_100E_std,823.1915637254715
ws_rmin_180,646.8009575009346
ws_rmean_360,619.0535241365433
ws_slope_360,536.669853746891
WS_100E_gust_factor,487.4185488820076
WS_69W_mean,436.6498696208
ws_rstd_360,401.43431466817856
shear_alpha,349.9876573085785
WD_97_sigma,276.70401525497437
ws_rstd_180,252.93254667520523
ws_rstd_60,185.4718649983406
ws_lag10,163.94410181045532
ws_diff_180,157.93095272779465
ws_rmean_180,136.67972135543823
ws_rmean_60,127.85138487815857
ws_rmin_60,125.06306910514832
ws_slope_60,122.00971722602844
ws_diff_60,116.13681477308273
ws_slope_180,112.78244477510452
WS_100E_ti,58.03973442316055
ws_lag180,54.41602087020874
ws_lag120,51.575690269470215
ws_lag20,21.186930537223816
ws_lag60,14.822449743747711
ws_lag30,10.51613712310791
