feature,gain
P_now,86417.92979115248
WS_100W_mean,30708.281933784485
WS_38W_mean,5510.260719001293
hour_sin,4667.73876363039
WS_100_mean,2962.0921835899353
WS_100E_mean,1961.238115787506
ws_rmax_60,1760.568239748478
hour_cos,1663.3705955147743
WD_97_sin,1357.7964996695518
doy_cos,1329.545755326748
doy_sin,1102.204243004322
WD_97_cos,769.9817964434624
RH_95_mean,720.2164378166199
AT_95_mean,664.718489587307
air_density,603.8927100300789
ws_rmin_360,595.5139538049698
WS_100E_std,573.4701717495918
BP_93_mean,568.9064295291901
ws_rmax_360,558.1418036222458
ws_rmax_180,447.31019830703735
ws_rmean_360,422.2257317304611
WS_69W_mean,388.07504469156265
WS_100E_gust_factor,357.8553935289383
ws_slope_360,296.17341470718384
ws_rmin_180,264.3459966778755
ws_rstd_360,214.9405802488327
WD_97_sigma,172.77123308181763
ws_lag10,161.40671336650848
ws_rstd_180,141.70530712604523
shear_alpha,137.30011701583862
ws_rmean_180,94.27530002593994
ws_diff_180,89.50153142213821
ws_rstd_60,88.13348907232285
ws_slope_60,86.44700598716736
ws_lag20,83.87304925918579
ws_rmin_60,81.02774292230606
ws_slope_180,80.91986590623856
ws_diff_60,74.1097925901413
ws_rmean_60,56.34873926639557
ws_lag30,36.88452911376953
WS_100E_ti,33.85367000102997
ws_lag60,28.904879927635193
ws_lag180,26.551601111888885
ws_lag120,9.391268014907837
