feature,gain
WS_38W_mean,10210353.991569519
WS_100W_mean,7291998.421951294
WS_69W_mean,6831159.384681702
P_now,2044554.659500122
ws_rmax_60,905200.9449768066
WS_100E_mean,815427.2300109863
hour_sin,801536.7504653931
hour_cos,355563.6958847046
WD_97_sin,251344.1994934082
WS_100_mean,250749.4969329834
doy_sin,213280.3540649414
doy_cos,184602.55563354492
WD_97_cos,148605.32717132568
AT_95_mean,142957.75899505615
RH_95_mean,138061.9882736206
ws_rmax_180,123451.2710723877
air_density,110184.97666931152
WS_100E_std,106729.58540344238
BP_93_mean,96109.48150634766
ws_rmin_360,85325.94985198975
ws_rmax_360,74201.95495605469
WS_100E_gust_factor,72550.78676605225
ws_slope_360,67724.30640411377
ws_rmean_360,58869.750885009766
ws_rmin_180,55904.371826171875
ws_rstd_180,45232.489906311035
ws_rstd_360,36973.2088470459
ws_lag10,30668.536582946777
shear_alpha,30191.778701782227
ws_rstd_60,27913.1773147583
ws_slope_60,26479.001663208008
WD_97_sigma,23687.401565551758
ws_slope_180,21867.435256958008
ws_diff_180,17198.906730651855
ws_rmean_180,16448.14680480957
ws_diff_60,15119.756446838379
ws_rmin_60,9638.326309204102
WS_100E_ti,7462.213836669922
ws_rmean_60,7335.516494750977
ws_lag180,6118.1751708984375
ws_lag120,5018.631820678711
ws_lag20,4768.367546081543
ws_lag60,2697.0328063964844
ws_lag30,388.75501251220703
