feature,gain
WS_69W_mean,15749320.634159088
WS_100W_mean,5873221.697780609
WS_38W_mean,2844791.7081947327
WS_100E_mean,2376220.0925369263
WS_100_mean,1950247.299167633
P_now,1572453.0314483643
ws_rmax_60,347636.91093444824
hour_sin,213472.05729484558
hour_cos,142560.9459991455
WD_97_sin,83335.90209960938
WD_97_cos,78466.96014595032
ws_rmax_180,76308.71722793579
doy_sin,63201.686155319214
WS_100E_std,57879.29050064087
doy_cos,54294.30835342407
WS_100E_gust_factor,53995.677421569824
RH_95_mean,45751.09536361694
AT_95_mean,38777.58871459961
air_density,35686.63221359253
ws_slope_360,34311.0379486084
BP_93_mean,30464.512758255005
ws_rmin_360,30108.75494003296
ws_lag10,26995.266834259033
ws_rmean_360,21038.63552093506
ws_rmax_360,20450.80800819397
ws_rmin_180,18535.934692382812
WD_97_sigma,16842.519145965576
ws_slope_180,16043.579372406006
shear_alpha,14177.320808410645
ws_rstd_180,12272.590839385986
ws_diff_60,12002.794214248657
ws_rstd_60,11601.650814056396
ws_rstd_360,11032.618572235107
ws_slope_60,10066.462972640991
ws_diff_180,8880.19596862793
ws_lag20,8032.090995788574
ws_rmin_60,6352.9127769470215
ws_lag180,5352.273628234863
ws_rmean_60,4276.295845031738
WS_100E_ti,3045.1058807373047
ws_rmean_180,2962.9366188049316
ws_lag60,2095.221181869507
ws_lag120,1482.8337898254395
ws_lag30,887.8170204162598
