feature,gain
P_now,149389.31353345886
WS_69W_mean,7613.201879538596
WS_100_mean,6826.89444334805
WS_100E_mean,2409.5582778528333
WS_38W_mean,1485.1455903574824
hour_cos,1026.992237597704
hour_sin,1006.9658514633775
WD_97_sin,608.9984996058047
WD_97_cos,519.8423493728042
doy_cos,504.43054835498333
AT_95_mean,479.532005045563
RH_95_mean,476.70130440592766
BP_93_mean,441.30314695835114
doy_sin,419.90597516298294
ws_rmax_180,382.1258323788643
WS_100E_std,375.3323724940419
WS_100E_gust_factor,350.08675768598914
ws_slope_360,344.2150518670678
ws_rmax_60,324.2471853867173
ws_rmax_360,311.52427000552416
air_density,306.66500476002693
ws_rmean_360,299.8543796092272
ws_rmin_360,294.15969071537256
ws_rmin_180,290.66057609021664
ws_rmean_180,254.37603712826967
ws_rstd_360,225.44489112868905
ws_rmean_60,173.86657049506903
ws_rstd_180,170.28005772083998
ws_lag120,167.31157209724188
WS_100W_mean,162.73476734757423
ws_slope_180,148.5116004422307
ws_rmin_60,146.22425582259893
WD_97_sigma,143.3072576932609
shear_alpha,142.81661524996161
ws_rstd_60,139.46148397028446
ws_slope_60,130.38905761763453
ws_diff_180,115.44624268263578
ws_lag30,114.52939701080322
ws_diff_60,112.68015515431762
ws_lag60,108.68286363780499
ws_lag180,98.99725021794438
ws_lag10,80.74188350141048
ws_lag20,64.69821314513683
WS_100E_ti,63.64452615380287
