feature,gain
WD_97_cos,1162.8121204574127
WD_97_sin,222.90894471178763
ws_rmax_180,59.758454045280814
ws_rmin_60,50.80407816916704
ws_lag10,50.46761095710099
hour_cos,45.23021422466263
WS_100E_mean,44.90373511472717
ws_rmean_360,43.40866340766661
ws_rstd_60,43.27404340938665
WS_69W_mean,42.7178961194586
shear_alpha,35.00498544960283
BP_93_mean,34.51898069772869
ws_slope_60,20.727535113925114
doy_cos,20.37774541520048
doy_sin,16.068257440347224
RH_95_mean,15.665716323070228
ws_rmax_60,14.503840230056085
hour_sin,12.02095070143696
air_density,11.338920713867992
AT_95_mean,10.885135821765289
ws_rmax_360,9.513230999698862
WS_38W_mean,7.437315335962921
ws_diff_60,7.218897376675159
ws_rmin_360,6.769308196846396
ws_lag20,6.459500847151503
WS_100_mean,5.157017920631915
ws_rmin_180,5.146844319999218
ws_rstd_360,4.729903418105096
WS_100W_mean,4.440608662553132
ws_slope_360,4.145042760530487
ws_rmean_180,3.9799019240308553
ws_lag30,3.6441347668878734
ws_diff_180,3.5521700449753553
ws_slope_180,3.2551048658788204
ws_rstd_180,3.230070223333314
ws_lag180,2.4586180867627263
ws_lag120,2.0218081534840167
ws_lag60,1.9886058210395277
ws_rmean_60,1.6541752479970455
