H,setup,num_features,nRMSE,nMAE,delta_nrmse_pct
1,Full Model (全特徵),44,0.24811,0.14966,0.0
1,w/o Lags & Rolling (無滯後/滾動趨勢),21,0.25289,0.15419,1.93
1,w/o Turbulence (無湍流/陣風),41,0.24929,0.15025,0.47
1,w/o Wind Direction (無風向向量),42,0.25244,0.15247,1.75
1,w/o Density & Atmosphere (無空氣密度/大氣),40,0.24916,0.14938,0.42
1,w/o Cyclical Time (無日夜/季節週期),40,0.25737,0.1559,3.73
3,Full Model (全特徵),44,0.36107,0.24184,0.0
3,w/o Lags & Rolling (無滯後/滾動趨勢),21,0.36469,0.24639,1.0
3,w/o Turbulence (無湍流/陣風),41,0.36178,0.2417,0.2
3,w/o Wind Direction (無風向向量),42,0.37057,0.24845,2.63
3,w/o Density & Atmosphere (無空氣密度/大氣),40,0.36326,0.24226,0.61
3,w/o Cyclical Time (無日夜/季節週期),40,0.39495,0.27085,9.38
6,Full Model (全特徵),44,0.4494,0.31915,0.0
6,w/o Lags & Rolling (無滯後/滾動趨勢),21,0.45256,0.32607,0.7
6,w/o Turbulence (無湍流/陣風),41,0.45089,0.3229,0.33
6,w/o Wind Direction (無風向向量),42,0.45897,0.32899,2.13
6,w/o Density & Atmosphere (無空氣密度/大氣),40,0.45463,0.32521,1.16
6,w/o Cyclical Time (無日夜/季節週期),40,0.50406,0.37246,12.16
