tag,target,H,model,fold,nRMSE
ws100_H1,ws100,1,ridge,0,0.15827951855146288
ws100_H1,ws100,1,ridge,1,0.15489028464508087
ws100_H1,ws100,1,ridge,2,0.14548108800602733
ws100_H1,ws100,1,ridge,3,0.142389417188806
ws100_H1,ws100,1,lightgbm,0,0.16078819221091922
ws100_H1,ws100,1,lightgbm,1,0.154046054292172
ws100_H1,ws100,1,lightgbm,2,0.1410305979953351
ws100_H1,ws100,1,lightgbm,3,0.13885378956046032
ws100_H1,ws100,1,xgboost,0,0.16097158175929607
ws100_H1,ws100,1,xgboost,1,0.15411010072577774
ws100_H1,ws100,1,xgboost,2,0.1411064244059311
ws100_H1,ws100,1,xgboost,3,0.138564059717071
ws100_H3,ws100,3,ridge,0,0.2591172886130785
ws100_H3,ws100,3,ridge,1,0.25330435074796953
ws100_H3,ws100,3,ridge,2,0.23107328856246268
ws100_H3,ws100,3,ridge,3,0.23473592385325126
ws100_H3,ws100,3,lightgbm,0,0.259654738417
ws100_H3,ws100,3,lightgbm,1,0.24505054630458525
ws100_H3,ws100,3,lightgbm,2,0.22378840800301844
ws100_H3,ws100,3,lightgbm,3,0.2228980074468676
ws100_H3,ws100,3,xgboost,0,0.25773679971671826
ws100_H3,ws100,3,xgboost,1,0.24452830744856816
ws100_H3,ws100,3,xgboost,2,0.22247019729212536
ws100_H3,ws100,3,xgboost,3,0.22274033240331137
ws100_H6,ws100,6,ridge,0,0.34902698589718434
ws100_H6,ws100,6,ridge,1,0.341545013380202
ws100_H6,ws100,6,ridge,2,0.30461623402500093
ws100_H6,ws100,6,ridge,3,0.31242927940350523
ws100_H6,ws100,6,lightgbm,0,0.35505627734956874
ws100_H6,ws100,6,lightgbm,1,0.3317950167627037
ws100_H6,ws100,6,lightgbm,2,0.30127258377363647
ws100_H6,ws100,6,lightgbm,3,0.2950106330602219
ws100_H6,ws100,6,xgboost,0,0.3482356413415619
ws100_H6,ws100,6,xgboost,1,0.33283144299495804
ws100_H6,ws100,6,xgboost,2,0.29738948170731705
ws100_H6,ws100,6,xgboost,3,0.2936294259910188
power_H1,power,1,ridge,0,0.288404921205716
power_H1,power,1,ridge,1,0.2937141068230502
power_H1,power,1,ridge,2,0.24852950807887778
power_H1,power,1,ridge,3,0.2657931656880706
power_H1,power,1,lightgbm,0,0.28711642272043775
power_H1,power,1,lightgbm,1,0.2865096024995976
power_H1,power,1,lightgbm,2,0.23805345861610658
power_H1,power,1,lightgbm,3,0.25002368910374795
power_H1,power,1,xgboost,0,0.29112521223212806
power_H1,power,1,xgboost,1,0.28846303977399684
power_H1,power,1,xgboost,2,0.2380814406720606
power_H1,power,1,xgboost,3,0.24979088492819881
power_H3,power,3,ridge,0,0.4329163276407474
power_H3,power,3,ridge,1,0.4427939903600195
power_H3,power,3,ridge,2,0.3699820760343333
power_H3,power,3,ridge,3,0.3921378409854753
power_H3,power,3,lightgbm,0,0.42546751958008217
power_H3,power,3,lightgbm,1,0.42172730056314045
power_H3,power,3,lightgbm,2,0.3551470934149705
power_H3,power,3,lightgbm,3,0.3664920175132994
power_H3,power,3,xgboost,0,0.4261209955559131
power_H3,power,3,xgboost,1,0.42565068996125277
power_H3,power,3,xgboost,2,0.35479566726693756
power_H3,power,3,xgboost,3,0.36598879916101523
power_H6,power,6,ridge,0,0.5413764899398593
power_H6,power,6,ridge,1,0.5481800807557051
power_H6,power,6,ridge,2,0.4580991754627094
power_H6,power,6,ridge,3,0.47358245529697424
power_H6,power,6,lightgbm,0,0.54095680249267
power_H6,power,6,lightgbm,1,0.526470380135984
power_H6,power,6,lightgbm,2,0.4471737756322279
power_H6,power,6,lightgbm,3,0.4475771489141863
power_H6,power,6,xgboost,0,0.5368396462621977
power_H6,power,6,xgboost,1,0.5291230657341546
power_H6,power,6,xgboost,2,0.4445975546398611
power_H6,power,6,xgboost,3,0.4468935344647804
