feature,gain
P_now,86024.23662239313
WS_100W_mean,28880.551243662834
WS_38W_mean,8991.540210545063
hour_sin,5566.118393629789
hour_cos,2766.2488503456116
WS_69W_mean,2593.011894285679
WD_97_sin,2364.3520973026752
WS_100E_mean,2051.3019359707832
WS_100_mean,2030.0902230143547
doy_cos,1767.4680023789406
ws_rmax_60,1764.957101881504
doy_sin,1612.8970112502575
RH_95_mean,1195.4273725152016
AT_95_mean,1093.9735273122787
BP_93_mean,1031.9870198071003
WD_97_cos,935.1417943239212
air_density,910.1224492192268
ws_rmin_360,897.8435038328171
WS_100E_std,813.1988458037376
ws_rmax_360,764.7790189981461
ws_rmin_180,686.109446644783
ws_rmax_180,685.2452546954155
ws_rmean_360,638.1064803600311
ws_slope_360,590.4659275710583
WS_100E_gust_factor,521.4507076740265
ws_rstd_360,407.7390066087246
shear_alpha,368.7542904317379
ws_rmean_180,229.4866405725479
ws_rstd_180,228.73967549204826
WD_97_sigma,213.34063068032265
ws_rstd_60,188.9483419060707
ws_rmin_60,157.19706517457962
ws_lag10,156.10084688663483
ws_diff_180,152.4965015053749
ws_slope_60,134.42154151201248
ws_rmean_60,115.19624882936478
ws_slope_180,112.35706853866577
ws_diff_60,107.57118129730225
WS_100E_ti,92.2722098827362
ws_lag120,80.49880522489548
ws_lag20,70.62576031684875
ws_lag180,65.55111265182495
ws_lag60,48.42217630147934
ws_lag30,35.96680384874344
