feature,gain
WS_100W_mean,15148979.268798828
WS_38W_mean,3153522.1102905273
hour_sin,2352372.8674316406
WS_100_mean,1746905.4884033203
P_now,1439029.109527588
ws_rmax_60,749223.7588195801
doy_sin,586419.8502502441
doy_cos,530774.5072174072
WD_97_sin,443592.1662597656
WS_100E_mean,406470.56427001953
AT_95_mean,386599.7178955078
WD_97_cos,354742.9626464844
hour_cos,354121.5806274414
RH_95_mean,295608.8824005127
air_density,238464.67184448242
BP_93_mean,214495.48593139648
ws_rmax_360,190800.06204223633
WS_100E_std,182232.83966064453
ws_rmin_360,167327.63803100586
ws_rmax_180,135061.21798706055
ws_slope_360,126390.19869995117
WS_69W_mean,117728.33822631836
ws_rmean_360,98708.3154296875
ws_rstd_180,96272.45401000977
ws_rstd_360,61008.90414428711
ws_rmin_180,59978.723693847656
ws_rmean_180,51389.910736083984
ws_rstd_60,46867.400299072266
WD_97_sigma,39174.299072265625
shear_alpha,37838.563873291016
WS_100E_gust_factor,37327.08825683594
ws_slope_60,34621.629974365234
ws_diff_180,27036.02310180664
ws_slope_180,21226.53530883789
ws_diff_60,19619.391967773438
ws_lag10,10884.880126953125
ws_rmin_60,10439.169982910156
ws_lag180,8121.912109375
WS_100E_ti,3625.3649291992188
ws_lag120,3082.2759704589844
ws_lag60,2043.60205078125
ws_lag20,1166.8159790039062
ws_lag30,1014.0819702148438
ws_rmean_60,322.8949890136719
