tag,target,H,model,fold,nRMSE
ws100_H1,ws100,1,ridge,0,0.10210509217061235
ws100_H1,ws100,1,ridge,1,0.10004011906265292
ws100_H1,ws100,1,ridge,2,0.09446536432643747
ws100_H1,ws100,1,ridge,3,0.09190150576917591
ws100_H1,ws100,1,lightgbm,0,0.10474956883207591
ws100_H1,ws100,1,lightgbm,1,0.0993476633048732
ws100_H1,ws100,1,lightgbm,2,0.09064519195489283
ws100_H1,ws100,1,lightgbm,3,0.08985490554110259
ws100_H3,ws100,3,ridge,0,0.15595240527427248
ws100_H3,ws100,3,ridge,1,0.1519792013584328
ws100_H3,ws100,3,ridge,2,0.14072611503304214
ws100_H3,ws100,3,ridge,3,0.1410161623992902
ws100_H3,ws100,3,lightgbm,0,0.15753434237000966
ws100_H3,ws100,3,lightgbm,1,0.14835322513653504
ws100_H3,ws100,3,lightgbm,2,0.13478631469709376
ws100_H3,ws100,3,lightgbm,3,0.13439806758925765
ws100_H6,ws100,6,ridge,0,0.2062926275431837
ws100_H6,ws100,6,ridge,1,0.20035690644594786
ws100_H6,ws100,6,ridge,2,0.18207734433536124
ws100_H6,ws100,6,ridge,3,0.1859105233761782
ws100_H6,ws100,6,lightgbm,0,0.2070811885987804
ws100_H6,ws100,6,lightgbm,1,0.19174973126891318
ws100_H6,ws100,6,lightgbm,2,0.1755785100781373
ws100_H6,ws100,6,lightgbm,3,0.17499419736604854
power_H1,power,1,ridge,0,0.1904618152688992
power_H1,power,1,ridge,1,0.19462803231572426
power_H1,power,1,ridge,2,0.16408863260626075
power_H1,power,1,ridge,3,0.1768292656168592
power_H1,power,1,lightgbm,0,0.186974816174395
power_H1,power,1,lightgbm,1,0.18442192436147473
power_H1,power,1,lightgbm,2,0.1537294214182886
power_H1,power,1,lightgbm,3,0.1596521130723812
power_H3,power,3,ridge,0,0.2679924134214416
power_H3,power,3,ridge,1,0.27326788091764564
power_H3,power,3,ridge,2,0.22910553608282425
power_H3,power,3,ridge,3,0.24302633591439557
power_H3,power,3,lightgbm,0,0.2652013105418587
power_H3,power,3,lightgbm,1,0.258345444808987
power_H3,power,3,lightgbm,2,0.21691566074396348
power_H3,power,3,lightgbm,3,0.22218764134084704
power_H6,power,6,ridge,0,0.3314537056804499
power_H6,power,6,ridge,1,0.3339317944045875
power_H6,power,6,ridge,2,0.2799464352023039
power_H6,power,6,ridge,3,0.29231471656468133
power_H6,power,6,lightgbm,0,0.3301062841894242
power_H6,power,6,lightgbm,1,0.31232806401284485
power_H6,power,6,lightgbm,2,0.2680041826398623
power_H6,power,6,lightgbm,3,0.2661376914450728
