feature,gain
P_now,86417.9309490323
WS_100W_mean,30708.282890558243
WS_38W_mean,5510.262057065964
hour_sin,4667.740098953247
WS_100_mean,2962.092162132263
WS_100E_mean,1961.2378554344177
ws_rmax_60,1760.5683878660202
hour_cos,1663.3704161643982
WD_97_sin,1357.7964937090874
doy_cos,1329.545768380165
doy_sin,1102.2044191360474
WD_97_cos,769.9818665385246
RH_95_mean,720.2165166139603
AT_95_mean,664.7185503840446
air_density,603.8928207159042
ws_rmin_360,595.5139538049698
WS_100E_std,573.470272898674
BP_93_mean,568.9063494205475
ws_rmax_360,558.1417437791824
ws_rmax_180,447.31018221378326
ws_rmean_360,422.22575199604034
WS_69W_mean,388.07512044906616
WS_100E_gust_factor,357.8554025888443
ws_slope_360,296.17343550920486
ws_rmin_180,264.3460077047348
ws_rstd_360,214.9406201839447
WD_97_sigma,172.77124309539795
ws_lag10,161.40675294399261
ws_rstd_180,141.70529812574387
shear_alpha,137.30012702941895
ws_rmean_180,94.27534008026123
ws_diff_180,89.50153142213821
ws_rstd_60,88.13348907232285
ws_slope_60,86.44701600074768
ws_lag20,83.87314939498901
ws_rmin_60,81.02784305810928
ws_slope_180,80.91987693309784
ws_diff_60,74.10978960990906
ws_rmean_60,56.348610043525696
ws_lag30,36.88453912734985
WS_100E_ti,33.853659987449646
ws_lag60,28.90486991405487
ws_lag180,26.55158108472824
ws_lag120,9.391268014907837
