feature,gain
WS_69W_mean,15749324.633541107
WS_100W_mean,5873221.6759262085
WS_38W_mean,2844792.547111511
WS_100E_mean,2376220.1482162476
WS_100_mean,1950248.7979927063
P_now,1572441.4466400146
ws_rmax_60,347637.5233974457
hour_sin,213470.7756061554
hour_cos,142561.94704437256
WD_97_sin,83335.68018722534
WD_97_cos,78466.58844566345
ws_rmax_180,76308.20608139038
doy_sin,63202.18526649475
WS_100E_std,57879.17165374756
doy_cos,54293.991107940674
WS_100E_gust_factor,53996.432624816895
RH_95_mean,45751.955684661865
AT_95_mean,38777.330139160156
air_density,35686.547229766846
ws_slope_360,34311.24237060547
BP_93_mean,30464.64695739746
ws_rmin_360,30108.92776107788
ws_lag10,26995.26905822754
ws_rmean_360,21038.790029525757
ws_rmax_360,20450.816829681396
ws_rmin_180,18535.964626312256
WD_97_sigma,16842.36150741577
ws_slope_180,16043.6669921875
shear_alpha,14176.80913734436
ws_rstd_180,12272.63496017456
ws_diff_60,12002.945198059082
ws_rstd_60,11602.15661239624
ws_rstd_360,11032.538215637207
ws_slope_60,10066.407335281372
ws_diff_180,8880.258338928223
ws_lag20,8032.089206695557
ws_rmin_60,6352.906723022461
ws_lag180,5352.442440032959
ws_rmean_60,4276.2731857299805
WS_100E_ti,3045.1065826416016
ws_rmean_180,2962.9220008850098
ws_lag60,2095.435604095459
ws_lag120,1482.8605003356934
ws_lag30,887.7845039367676
