feature,gain,horizon,category,gain_pct
P_now,134258.83310589194,1h,風速現值與滯後,74.41477457109013
WS_100W_mean,31538.67831019312,1h,風速現值與滯後,17.480739124792493
WS_100_mean,6356.802210301161,1h,風速現值與滯後,3.5233436231303656
WS_100E_mean,2558.957537714392,1h,風速現值與滯後,1.4183368341643334
WS_69W_mean,2472.7392753250897,1h,風速現值與滯後,1.37054919583032
WS_38W_mean,309.6097537688911,1h,風速現值與滯後,0.1716053945854805
ws_rmin_60,241.81873240321875,1h,滾動趨勢與斜率,0.13403130388195358
WS_100E_gust_factor,238.4094604179263,1h,湍流與風切,0.13214166876173045
WD_97_cos,209.7196352891624,1h,時間週期與風向,0.11623994505348774
hour_cos,207.72789312154052,1h,時間週期與風向,0.11513599501177675
hour_sin,170.40432585775852,1h,時間週期與風向,0.09444890292352168
WD_97_sin,123.91461447626352,1h,時間週期與風向,0.0686813514537393
WS_100E_std,107.34894492663445,1h,湍流與風切,0.0594996049970086
doy_cos,105.1220708489418,1h,時間週期與風向,0.05826532991315619
ws_rmean_60,96.21050629019736,1h,滾動趨勢與斜率,0.053325974696269665
ws_lag10,88.8481955807656,1h,風速現值與滯後,0.049245314384463015
AT_95_mean,79.71677436679602,1h,氣壓/溫度/密度,0.044184100642084695
RH_95_mean,74.41186409629881,1h,氣壓/溫度/密度,0.041243782357122734
doy_sin,71.94693950004876,1h,時間週期與風向,0.039877564552890724
BP_93_mean,67.18633679673076,1h,氣壓/溫度/密度,0.03723893610070895
ws_rmax_60,67.14359872043133,1h,滾動趨勢與斜率,0.03721524794373744
ws_rmax_180,61.647563599050045,1h,滾動趨勢與斜率,0.03416899612453826
air_density,59.26088639721274,1h,氣壓/溫度/密度,0.032846147997230284
ws_lag20,59.14015193842352,1h,風速現值與滯後,0.03277922929008886
ws_rmin_180,58.96324808523059,1h,滾動趨勢與斜率,0.03268117793621089
WD_97_sigma,57.58416714519262,1h,時間週期與風向,0.03191680366828268
ws_rmean_360,55.79888312518597,1h,滾動趨勢與斜率,0.030927285847958834
ws_slope_360,53.877013213932514,1h,滾動趨勢與斜率,0.029862063449607675
ws_rmax_360,53.05619443953037,1h,滾動趨勢與斜率,0.02940711353943917
ws_rstd_60,51.87835568934679,1h,湍流與風切,0.028754280477744996
ws_rmin_360,50.60958249121904,1h,滾動趨勢與斜率,0.028051045768070063
shear_alpha,47.10448011383414,1h,湍流與風切,0.02610829535658714
ws_lag30,39.68293404951692,1h,風速現值與滯後,0.021994803047969042
ws_rstd_360,39.0013302192092,1h,湍流與風切,0.02161701490393582
WS_100E_ti,37.00746357999742,1h,湍流與風切,0.020511887345105204
ws_rstd_180,36.7960932739079,1h,湍流與風切,0.020394732493429497
ws_rmean_180,33.876522064208984,1h,滾動趨勢與斜率,0.01877652065300158
ws_slope_60,33.00666321627796,1h,滾動趨勢與斜率,0.0182943896186405
ws_slope_180,29.261863773688678,1h,滾動趨勢與斜率,0.016218783866023573
ws_diff_60,28.84112133085728,1h,滾動趨勢與斜率,0.015985581675065353
