Step,Minutes,RMSE_MW,MAE_MW,R2,N_samples
1,10,0.33861504302167017,0.1345833612234248,0.9746841802444951,898
2,20,0.5538374907547224,0.3681497520758332,0.9319859461530151,898
3,30,0.6486417819525099,0.4273089053214605,0.90647674799445,898
4,40,0.6907076763440871,0.454107824423768,0.8933099566996031,898
5,50,0.7190566378185514,0.4711679884983593,0.8843392044270034,898
6,60,0.7749787538589752,0.5120024656104082,0.8635921441493866,898
7,70,0.8718187218254521,0.5665686578515415,0.8262325921263961,898
8,80,0.9174039642627696,0.5926379549999313,0.8084447574559541,898
9,90,0.9065888563627071,0.5952064331595734,0.8118584104989168,898
10,100,0.9662756734409802,0.6169467350791336,0.7876435399972553,898
11,110,1.0029970711565568,0.647494796700551,0.7691604878438294,898
12,120,1.0277533231067415,0.6608733437548528,0.7589966237867417,898
13,130,1.0938502129179983,0.6976158111956658,0.7278927569818952,898
14,140,1.1417633349659497,0.7281701893654309,0.6980111036792724,898
15,150,1.1366571787340236,0.734693665388597,0.6955420858784158,898
16,160,1.1773739777358596,0.765757241017782,0.670114335265522,898
17,170,1.2051748680186554,0.7873932604532557,0.6536747870189908,898
18,180,1.2615974832266197,0.8136158462132461,0.6238142374533401,898
19,190,1.3057480053967454,0.8364376130268456,0.5959295773353627,898
20,200,1.304253027667906,0.832860757951107,0.5999801438395747,898
21,210,1.3602236890505761,0.8652430877076213,0.5649216802944984,898
22,220,1.362076161068177,0.8610397843448095,0.566264721017152,898
23,230,1.3888651902273539,0.8803482335392313,0.5480516937718751,898
24,240,1.4034138132040137,0.9071118255416162,0.5349660992355638,898
25,250,1.4329267834652268,0.9228695095750358,0.510548958247399,898
26,260,1.4680594926623733,0.9523095951172477,0.48674283276182073,898
27,270,1.4948742383080145,0.9692521795632741,0.46595928154448907,898
28,280,1.5352552904952341,0.9927621356229952,0.4444930423791277,898
29,290,1.5540971788947682,1.0128712529872648,0.42902641891808035,898
30,300,1.5901425248739505,1.0428296304303222,0.405037182230534,898
31,310,1.6095677791992862,1.059067719842062,0.3884511791338612,898
32,320,1.6241722728641719,1.0613172149662158,0.38217412012682617,898
33,330,1.6518761274263642,1.0817406525652646,0.3621805899950823,898
34,340,1.6848064037346868,1.1086809100090818,0.3399397537391311,898
35,350,1.6952976456365032,1.1117073536526687,0.33421671478255854,898
36,360,1.7191661119434587,1.127761333709231,0.317362018615706,898
37,370,1.7223888225172643,1.1412600061042968,0.3153370594790851,898
38,380,1.747603935664389,1.1617489060545472,0.292930060192668,898
39,390,1.702418469246331,1.1347656255497165,0.3271872361252727,898
40,400,1.7398602787906223,1.1595136363358696,0.2968533963249935,898
41,410,1.7477245343862502,1.164270090352861,0.2908265247477563,898
42,420,1.7508049302652031,1.16542640013048,0.2840928136391774,898
43,430,1.8078640600942584,1.219352465142179,0.2350921636206783,898
44,440,1.8103043396861105,1.219709783462481,0.2372874659834424,898
45,450,1.7880024044299694,1.20310427111559,0.25238216372064415,898
46,460,1.816617534285134,1.2183270121884968,0.23542281595755443,898
47,470,1.8298729913428213,1.23856920135451,0.21962715528978938,898
48,480,1.831502554596615,1.2371311180377547,0.2265239138024302,898
49,490,1.8715021113421375,1.2706142340011672,0.19405220925443978,898
50,500,1.8592721055143637,1.2695710517954029,0.18411555041483574,898
51,510,1.8626513571013037,1.2765635575722576,0.16995196135351265,898
52,520,1.884907890389313,1.3044674822800872,0.1467296934664275,898
53,530,1.914384026269608,1.3285050320856628,0.12052666996746486,898
54,540,1.9304080460765534,1.337801802993595,0.11168353158092159,898
55,550,1.9300145336299253,1.3393090427351007,0.11038118963277244,898
56,560,1.9353755038924905,1.3391436168828539,0.11188389061919635,898
57,570,1.9420510444074248,1.3434836173554416,0.1046308152476858,898
58,580,1.9426864941989672,1.3471261959920875,0.11141973637389391,898
59,590,1.9394792817364248,1.3379397045751376,0.11456550913503871,898
60,600,1.9457994790162738,1.352236192812541,0.10403506968700715,898
61,610,1.9562152921076426,1.3574674355883014,0.08448947263365814,898
62,620,1.9677660935586816,1.368576959113233,0.07527158175035609,898
63,630,1.9680006918166495,1.3685804400280386,0.07277932062345616,898
