iter	RMSE
0	1.971907987
1	1.939158619
2	1.907463721
3	1.876963439
4	1.847337122
5	1.818596245
6	1.791227344
7	1.765057063
8	1.740643581
9	1.716507627
10	1.693638191
11	1.671683166
12	1.650227572
13	1.629700333
14	1.609582686
15	1.590643059
16	1.572795503
17	1.555526898
18	1.538994462
19	1.523075592
20	1.509451127
21	1.494887622
22	1.480719509
23	1.467501542
24	1.454454236
25	1.442405528
26	1.430418665
27	1.418501219
28	1.407815481
29	1.396956981
30	1.386895668
31	1.376949933
32	1.368210057
33	1.359237466
34	1.350996111
35	1.34295993
36	1.334469903
37	1.326668127
38	1.319213451
39	1.312318244
40	1.305806194
41	1.299487349
42	1.292803328
43	1.28665646
44	1.281154939
45	1.275802278
46	1.270381233
47	1.265371578
48	1.2603776
49	1.255540102
50	1.250945576
51	1.246610929
52	1.242256503
53	1.238665115
54	1.23490308
55	1.230808645
56	1.227196233
57	1.223719207
58	1.22062331
59	1.217014233
60	1.213721198
61	1.210413776
62	1.206973108
63	1.203906354
64	1.200874647
65	1.197703
66	1.194729727
67	1.191841268
68	1.189098192
69	1.186724306
70	1.184528465
71	1.182389794
72	1.180158989
73	1.177858735
74	1.175679018
75	1.173668045
76	1.171366636
77	1.168846391
78	1.166470248
79	1.164564568
80	1.162568682
81	1.160722113
82	1.158759341
83	1.157191548
84	1.1551462
85	1.153272063
86	1.151214274
87	1.149121911
88	1.147555355
89	1.145874035
90	1.144727633
91	1.143256622
92	1.141794095
93	1.140346408
94	1.138881954
95	1.137526602
96	1.136071907
97	1.135141368
98	1.133426232
99	1.132271651
100	1.13088568
101	1.129666101
102	1.128617659
103	1.127134103
104	1.125962302
105	1.124120454
106	1.122925683
107	1.121684178
108	1.120405705
109	1.119052067
110	1.11786448
111	1.116371139
112	1.115376736
113	1.114072893
114	1.112813417
115	1.111757622
116	1.110737927
117	1.109782319
118	1.108901069
119	1.107987457
120	1.106856148
121	1.10574391
122	1.104714139
123	1.103605079
124	1.102517394
125	1.101674039
126	1.100891715
127	1.099939776
128	1.098904085
129	1.098142551
130	1.097282777
131	1.096270406
132	1.095127275
133	1.09442213
134	1.093410257
135	1.092578799
136	1.091934867
137	1.091411966
138	1.090508064
139	1.089801216
140	1.088298635
141	1.087431772
142	1.086322102
143	1.085420136
144	1.084719642
145	1.084229982
146	1.083633645
147	1.082739093
148	1.082109732
149	1.081529972
150	1.080637086
151	1.079758015
152	1.078805784
153	1.078079839
154	1.077280089
155	1.076370092
156	1.075490697
157	1.074709611
158	1.073558906
159	1.07299615
160	1.07197171
161	1.071169327
162	1.070411428
163	1.069714469
164	1.068878863
165	1.06808216
166	1.066842777
167	1.065772386
168	1.064830481
169	1.064235464
170	1.06305229
171	1.062492959
172	1.061766317
173	1.061169671
174	1.060412999
175	1.059555855
176	1.058943839
177	1.058232595
178	1.05749349
179	1.056889138
180	1.056164202
181	1.05547495
182	1.054995943
183	1.05426088
184	1.05350245
185	1.05283877
186	1.051993805
187	1.051151657
188	1.050521137
189	1.049995497
190	1.049349633
191	1.048336048
192	1.047813246
193	1.047106235
194	1.046078362
195	1.045509923
196	1.044897472
197	1.044129339
198	1.043564599
199	1.043005225
200	1.042433748
201	1.041963043
202	1.040797926
203	1.040022771
204	1.039625043
205	1.038947998
206	1.038183475
207	1.03781785
208	1.037125258
209	1.036674795
210	1.035915116
211	1.035299604
212	1.034757741
213	1.033940911
214	1.033501374
215	1.032997492
216	1.032313704
217	1.03188877
218	1.031289154
219	1.030573432
220	1.030402169
221	1.029900811
222	1.029350817
223	1.028705625
224	1.028166496
225	1.027267172
226	1.026898028
227	1.026098919
228	1.025635281
229	1.025149843
230	1.024934383
231	1.024229172
232	1.023392839
233	1.022783663
234	1.021917423
235	1.021336777
236	1.020628804
237	1.020171553
238	1.01924626
239	1.018400357
240	1.017779211
241	1.017232219
242	1.016550801
243	1.015831141
244	1.014616134
245	1.013929825
246	1.013164487
247	1.012522921
248	1.01161968
249	1.010904633
