iter	Passed	Remaining
0	3	945
1	7	876
2	10	828
3	13	803
4	16	788
5	19	783
6	22	769
7	25	758
8	28	751
9	31	745
10	33	735
11	37	737
12	40	730
13	43	725
14	45	717
15	48	710
16	51	704
17	54	700
18	57	695
19	60	695
20	63	695
21	66	691
22	70	691
23	73	687
24	76	684
25	79	681
26	81	676
27	84	672
28	87	670
29	90	666
30	93	662
31	96	658
32	99	654
33	102	652
34	105	649
35	108	645
36	111	640
37	114	636
38	116	631
39	119	628
40	122	626
41	125	623
42	128	620
43	131	617
44	134	614
45	137	611
46	141	609
47	143	605
48	146	601
49	149	598
50	152	595
51	155	590
52	157	586
53	160	583
54	163	579
55	166	576
56	169	573
57	172	569
58	174	566
59	177	562
60	180	559
61	183	557
62	186	554
63	189	551
64	192	548
65	195	545
66	198	542
67	201	539
68	204	536
69	207	533
70	210	530
71	213	527
72	216	524
73	218	520
74	221	517
75	224	513
76	227	510
77	229	506
78	232	503
79	235	500
80	238	496
81	240	493
82	243	490
83	246	487
84	249	485
85	252	482
86	255	479
87	258	476
88	261	473
89	264	470
90	267	467
91	270	464
92	273	460
93	276	458
94	278	455
95	281	452
96	284	449
97	287	445
98	290	442
99	293	439
100	295	436
101	298	433
102	301	430
103	304	427
104	307	424
105	310	421
106	313	418
107	316	416
108	319	413
109	322	410
110	325	408
111	329	405
112	332	403
113	335	400
114	338	397
115	341	394
116	344	391
117	346	387
118	349	384
119	352	381
120	355	379
121	358	376
122	361	372
123	363	369
124	366	366
125	369	363
126	372	360
127	375	358
128	378	354
129	381	352
130	384	349
131	387	346
132	390	343
133	393	340
134	396	337
135	399	335
136	402	332
137	405	329
138	408	326
139	411	323
140	414	320
141	417	317
142	420	314
143	423	311
144	425	308
145	428	305
146	431	302
147	434	299
148	437	296
149	440	293
150	443	290
151	446	288
152	449	285
153	452	282
154	455	279
155	458	276
156	461	273
157	464	270
158	468	267
159	471	264
160	473	261
161	476	259
162	480	256
163	484	253
164	487	251
165	491	248
166	494	245
167	498	243
168	502	240
169	505	237
170	508	234
171	511	232
172	515	229
173	518	226
174	522	223
175	525	221
176	529	218
177	532	215
178	536	212
179	539	209
180	542	206
181	546	204
182	550	201
183	553	198
184	556	195
185	559	192
186	562	189
187	566	186
188	569	183
189	572	180
190	575	177
191	578	174
192	581	171
193	584	168
194	587	165
195	590	162
196	594	159
197	597	156
198	600	153
199	603	150
200	606	147
201	608	144
202	612	141
203	615	138
204	618	135
205	621	132
206	623	129
207	626	126
208	629	123
209	632	120
210	636	117
211	639	114
212	642	111
213	645	108
214	648	105
215	651	102
216	654	99
217	657	96
218	660	93
219	663	90
220	666	87
221	670	84
222	674	81
223	677	78
224	681	75
225	684	72
226	688	69
227	691	66
228	694	63
229	698	60
230	701	57
231	704	54
232	707	51
233	711	48
234	714	45
235	717	42
236	720	39
237	723	36
238	727	33
239	730	30
240	733	27
241	736	24
242	739	21
243	742	18
244	745	15
245	748	12
246	751	9
247	754	6
248	758	3
249	761	0
