target,feature,gain,gain_pct
WS_100E_gust3s,WS_100_mean,4435704.153969288,75.05
WS_100E_gust3s,WS_69W_mean,985627.903236568,16.68
WS_100E_gust3s,WS_38W_mean,300752.59112998843,5.09
WS_100E_gust3s,WD_97_cos,62493.78699222207,1.06
WS_100E_gust3s,WD_35_cos,58049.10491582751,0.98
WS_100E_gust3s,shear_alpha,16594.983588695526,0.28
WS_100E_gust3s,WD_97_sin,10984.353990644217,0.19
WS_100E_gust3s,BP_93_mean,8103.947537481785,0.14
WS_100E_gust3s,WD_35_sin,6683.6163284778595,0.11
WS_100E_gust3s,doy_sin,5095.956499963999,0.09
WS_100E_gust3s,AT_95_mean,4533.570709526539,0.08
WS_100E_gust3s,doy_cos,3828.1912025511265,0.06
WS_100E_gust3s,hour_cos,3667.473205268383,0.06
WS_100E_gust3s,air_density,2858.324745029211,0.05
WS_100E_gust3s,RH_95_mean,2847.1639983057976,0.05
WS_100E_gust3s,hour_sin,1431.290651500225,0.02
WS_100E_gust3s,veer_97_35,1358.2542032301426,0.02
