target,feature,gain,gain_pct
WS_100E_int_scale_s,shear_alpha,780945.7345581055,12.22
WS_100E_int_scale_s,WS_100_mean,649929.027633667,10.17
WS_100E_int_scale_s,WD_35_cos,552951.869430542,8.65
WS_100E_int_scale_s,veer_97_35,418069.6213684082,6.54
WS_100E_int_scale_s,RH_95_mean,398969.237991333,6.24
WS_100E_int_scale_s,WD_97_sin,394994.55491638184,6.18
WS_100E_int_scale_s,WS_69W_mean,343019.14598083496,5.37
WS_100E_int_scale_s,doy_sin,332450.7853088379,5.2
WS_100E_int_scale_s,BP_93_mean,330985.7854156494,5.18
WS_100E_int_scale_s,doy_cos,315368.7593231201,4.93
WS_100E_int_scale_s,hour_cos,295358.68421936035,4.62
WS_100E_int_scale_s,AT_95_mean,282068.7110595703,4.41
WS_100E_int_scale_s,air_density,271868.7104034424,4.25
WS_100E_int_scale_s,hour_sin,266680.780380249,4.17
WS_100E_int_scale_s,WD_35_sin,266191.87745666504,4.16
WS_100E_int_scale_s,WD_97_cos,265749.6350097656,4.16
WS_100E_int_scale_s,WS_38W_mean,225672.66200256348,3.53
