target,feature,gain,gain_pct
WS_100E_p99,WS_100_mean,4388056.454739764,75.4
WS_100E_p99,WS_69W_mean,979682.1383902133,16.83
WS_100E_p99,WS_38W_mean,295061.7526151538,5.07
WS_100E_p99,WD_35_cos,50526.48279312253,0.87
WS_100E_p99,WD_97_cos,49695.13065248728,0.85
WS_100E_p99,shear_alpha,14658.874159142375,0.25
WS_100E_p99,WD_97_sin,9737.866992592812,0.17
WS_100E_p99,BP_93_mean,6164.261155873537,0.11
WS_100E_p99,WD_35_sin,4777.365382939577,0.08
WS_100E_p99,doy_sin,4207.207432061434,0.07
WS_100E_p99,AT_95_mean,3794.1539319753647,0.07
WS_100E_p99,doy_cos,3095.559998869896,0.05
WS_100E_p99,hour_cos,3083.645111501217,0.05
WS_100E_p99,air_density,2273.3744391202927,0.04
WS_100E_p99,RH_95_mean,2145.107407927513,0.04
WS_100E_p99,veer_97_35,1502.791372552514,0.03
WS_100E_p99,hour_sin,1264.551564604044,0.02
