target,feature,gain,gain_pct
WS_100E_spec_slope,WD_35_cos,995.0448106527328,15.38
WS_100E_spec_slope,WS_100_mean,715.5741088688374,11.06
WS_100E_spec_slope,veer_97_35,680.8996406495571,10.53
WS_100E_spec_slope,shear_alpha,666.7564408183098,10.31
WS_100E_spec_slope,WD_97_cos,402.5841796398163,6.22
WS_100E_spec_slope,RH_95_mean,318.76148477196693,4.93
WS_100E_spec_slope,WS_69W_mean,317.91118916869164,4.91
WS_100E_spec_slope,WD_35_sin,309.7773327976465,4.79
WS_100E_spec_slope,WD_97_sin,287.4995016157627,4.44
WS_100E_spec_slope,BP_93_mean,246.24769450724125,3.81
WS_100E_spec_slope,WS_38W_mean,242.35673934221268,3.75
WS_100E_spec_slope,air_density,237.67313435673714,3.67
WS_100E_spec_slope,doy_cos,228.73611786961555,3.54
WS_100E_spec_slope,hour_cos,211.1611289680004,3.26
WS_100E_spec_slope,hour_sin,208.86664059758186,3.23
WS_100E_spec_slope,doy_sin,205.0679819881916,3.17
WS_100E_spec_slope,AT_95_mean,193.79028660058975,3.0
