target,feature,gain,gain_pct
WS_100E_std,WS_100_mean,12566.706648111343,30.52
WS_100E_std,WD_35_cos,8959.756331540644,21.76
WS_100E_std,WD_97_cos,3544.869415216148,8.61
WS_100E_std,WD_97_sin,2769.857892882079,6.73
WS_100E_std,WS_69W_mean,2470.7327851504087,6.0
WS_100E_std,WS_38W_mean,1902.766113203019,4.62
WS_100E_std,BP_93_mean,1414.8424032330513,3.44
WS_100E_std,WD_35_sin,1315.369026672095,3.19
WS_100E_std,shear_alpha,1245.3948775045574,3.02
WS_100E_std,hour_cos,907.2762313857675,2.2
WS_100E_std,doy_sin,811.7444378174841,1.97
WS_100E_std,AT_95_mean,770.4228338338435,1.87
WS_100E_std,doy_cos,659.4378894306719,1.6
WS_100E_std,RH_95_mean,534.8283304609358,1.3
WS_100E_std,air_density,507.1629822254181,1.23
WS_100E_std,veer_97_35,432.81443447619677,1.05
WS_100E_std,hour_sin,367.896647695452,0.89
