target,feature,gain,gain_pct
gust_factor_3s,WD_97_cos,1604.7965584835038,46.97
gust_factor_3s,WD_35_cos,597.7695152396336,17.5
gust_factor_3s,WD_97_sin,342.0037880949676,10.01
gust_factor_3s,WD_35_sin,126.9978054780513,3.72
gust_factor_3s,shear_alpha,103.65689794626087,3.03
gust_factor_3s,air_density,93.96530949044973,2.75
gust_factor_3s,WS_69W_mean,86.33523136563599,2.53
gust_factor_3s,BP_93_mean,81.43693392723799,2.38
gust_factor_3s,hour_cos,65.82668792735785,1.93
gust_factor_3s,doy_sin,50.83037228882313,1.49
gust_factor_3s,doy_cos,50.32325061317533,1.47
gust_factor_3s,WS_100_mean,43.013533560559154,1.26
gust_factor_3s,RH_95_mean,41.48832424916327,1.21
gust_factor_3s,AT_95_mean,37.29147551301867,1.09
gust_factor_3s,hour_sin,34.81386967282742,1.02
gust_factor_3s,veer_97_35,31.142086344771087,0.91
gust_factor_3s,WS_38W_mean,24.995051779784262,0.73
