target,feature,gain,gain_pct
p99_norm,WD_97_cos,1311.0425950950012,47.57
p99_norm,WD_35_cos,469.81414625933394,17.05
p99_norm,WD_97_sin,282.6827312493697,10.26
p99_norm,WD_35_sin,104.21171648520976,3.78
p99_norm,shear_alpha,87.05658464599401,3.16
p99_norm,air_density,81.13930111657828,2.94
p99_norm,BP_93_mean,59.74210105650127,2.17
p99_norm,WS_69W_mean,56.577766161412,2.05
p99_norm,hour_cos,51.432629339396954,1.87
p99_norm,doy_cos,40.88232510071248,1.48
p99_norm,doy_sin,38.81977807916701,1.41
p99_norm,WS_100_mean,34.8020755071193,1.26
p99_norm,RH_95_mean,32.72712881118059,1.19
p99_norm,AT_95_mean,29.029381273314357,1.05
p99_norm,veer_97_35,26.181126532144845,0.95
p99_norm,hour_sin,25.670246702618897,0.93
p99_norm,WS_38W_mean,24.409236658364534,0.89
